target,text
ham,What time. IÛ÷m out until prob 3 or so
ham,No screaming means shouting..
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
ham,I havent lei.. Next mon can?
ham,"Oh fine, I'll be by tonight"
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,Its too late:)but its k.wish you the same.
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16"
ham,Dear where you will be when i reach there
ham,Do u still have plumbers tape and a wrench we could borrow?
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
ham,So dont use hook up any how
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
ham,You could have seen me..i did't recognise you Face.:)
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
ham,I can do that! I want to please you both inside and outside the bedroom...
ham,"A few people are at the game, I'm at the mall with iouri and kaila"
ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)
ham,I dont want to hear philosophy. Just say what happen
ham,ÌÏ mean it's confirmed... I tot they juz say oni... Ok then... 
ham,meet you in corporation st outside gap Û_ you can see how my mind is working!
ham,Hey we can go jazz power yoga hip hop kb and yogasana 
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,At WHAT TIME should i come tomorrow
spam,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP Arrow
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
ham,Hope you are having a great day.
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
ham,"not that I know of, most people up here are still out of town"
ham,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.
ham,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
ham,Hi. I'm sorry i missed your call. Can you pls call back.
ham,Can you please send me my aunty's number
ham,Then why you came to hostel.
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,By monday next week. Give me the full gist
ham,K:)k:)what are detail you want to transfer?acc no enough?
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!"
ham,"Alright we're hooked up, where you guys at"
ham,I've reached home n i bathe liao... U can call me now...
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
ham,"Sure thing big man. i have hockey elections at 6, shouldnÛ÷t go on longer than an hour though"
ham,He telling not to tell any one. If so treat for me hi hi hi
spam,URGENT We are trying to contact you Last weekends draw shows u have won a å£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
ham,"Sorry, I'll call later"
ham,Annoying isn't it.
ham,When should I come over?
ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
ham,o turns out i had stereo love on mi phone under the unknown album.
ham,Is it your yahoo boys that bring in the perf? Or legal.
ham,"By the way, 'rencontre' is to meet again. Mountains dont...."
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
ham,We will meet soon princess! Ttyl!
ham,I want  &lt;#&gt;  rs da:)do you have it?
ham,Hope you are having a great day.
ham,Where is that one day training:-)
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"
ham,I'm at work. Please call
ham,Havent shopping now lor i juz arrive only
ham,Jesus armand really is trying to tell everybody he can find
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,"Aight, see you in a bit"
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
ham,Midnight at the earliest
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
ham,Yup
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!
ham,Don no da:)whats you plan?
ham,Already am squatting is the new way of walking
ham,I think if he rule tamilnadu..then its very tough for our people.
ham,Tell dear what happen to you. Why you talking to me like an alian
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
ham,I am on the way to ur home
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
ham,Jus finish blowing my hair. U finish dinner already?
ham,I cant pick the phone right now. Pls send a message
ham,I am joining today formally.Pls keep praying.will talk later.
ham,He is there. You call and meet him
ham,Are you going to write ccna exam this week??
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
ham,Not from this campus. Are you in the library?
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
ham,I cant pick the phone right now. Pls send a message
ham,Lol for real. She told my dad I have cancer
ham,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
ham,Cab is available.they pick up and drop at door steps.
ham,Its sarcasm.. .nt scarcasim
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
ham,"ItÛ÷s reassuring, in this crazy world."
ham,Somebody should go to andros and steal ice
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
ham,Are u coming to the funeral home
ham,Sorry completely forgot * will pop em round this week if your still here?
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
ham,Serious? What like proper tongued her
ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
ham,I keep ten rs in my shelf:) buy two egg.
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,"Sorry, I'll call later"
ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
ham,"Haha awesome, be there in a minute"
ham,What happened to our yo date?
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,"Awesome, text me when you're restocked"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
ham,Well I might not come then...
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book 
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
ham,Wat time Ì_ finish?
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,Ok...
ham,Thanks honey. Have a great day.
ham,Thank god they are in bed!
ham,I had it already..sabarish asked me to go..
ham,Wot is u up 2 then bitch?
ham,Our Prashanthettan's mother passed away last night. pray for her and family.
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800
ham,I'm home. Ard wat time will u reach?
ham,Dear umma she called me now :-)
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Yup. Thk of u oso boring wat.
ham,Ok ok take care. I can understand.
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
ham,Pls come quick cant bare this.
ham,Yeah that'd pretty much be the best case scenario
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,No it will reach by 9 only. She telling she will be there. I dont know
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas..."
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
ham,I'm at home. Please call
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
ham,I did. One slice and one breadstick. Lol
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
ham,Ambrith..madurai..met u in arun dha marrge..remembr?
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
ham,Thanx but my birthday is over already.
ham,She told to hr that he want posting in chennai:)because i'm working here:)
spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,But i'm really really broke oh. No amount is too small even  &lt;#&gt; 
ham,Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.
ham,K.k:)when are you going?
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
ham,Are you sure you don't mean \get here
ham,We confirm eating at esplanade?
ham,How are you. Wish you a great semester
ham,Thanks for looking out for me. I really appreciate.
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,"I just got home babe, are you still awake ?"
ham,Hi msg me:)i'm in office..
ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
ham,Guessin you ain't gonna be here before 9?
ham,Sweet heart how are you?
ham,I can't describe how lucky you are that I'm actually awake by noon
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,"Awesome, I'll see you in a bit"
ham,K:)k..its good:)when are you going?
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
ham,Free any day but i finish at 6 on mon n thurs...
ham,What happen dear. Why you silent. I am tensed
ham,Don know. I did't msg him recently.
ham,Hey i will be late... i'm at amk. Need to drink tea or coffee
ham,And now electricity just went out fml.
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
ham,Daddy will take good care of you :)
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep"
ham,Call me when u finish then i come n pick u.
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,Ok thanx...
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,You said not now. No problem. When you can. Let me know.
ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
ham,"Oh yes, why is it like torture watching england?"
ham,"Yep, by the pretty sculpture"
ham,K..i deleted my contact that why?
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
ham,I want to see your pretty pussy...
ham,Hi. I'm always online on yahoo and would like to chat with you someday
ham,"Hiya, probably coming home * weekend after next"
ham,R u here yet? I'm wearing blue shirt n black pants.
ham,Finished class where are you.
ham,My friends use to call the same.
ham,Dont gimme that lip caveboy
ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time 
ham,Lol ok. I'll snatch her purse too.
ham,I am on the way to ur home
ham,Hope you are having a good week. Just checking in
ham,Hows the street where the end of library walk is?
ham,S s..first time..dhoni rocks...
ham,"Sorry, I'll call later"
ham,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit"""
ham,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,Thinkin about someone is all good. No drugs for that
ham,"Yes obviously, but you are the eggs-pert and the potato headÛ_ Speak soon! "
ham,Mm so you asked me not to call radio
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,Pls go there today  &lt;#&gt; . I dont want any excuses
ham,Networking job is there.
ham,Ok set let u noe e details later...
ham,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\"""""
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,All will come alive.better correct any good looking figure there itself..
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
spam,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
ham,I will treasure every moment we spend together...
ham,No plm i will come da. On the way.
ham,Ok. No wahala. Just remember that a friend in need ...
ham,Me fine..absolutly fine
ham,Horrible bf... I now v hungry...
ham,Ok i go change also...
ham,A bloo bloo bloo I'll miss the first bowl
ham,Speaking of does he have any cash yet?
ham,Once free call me sir.
ham,Cos daddy arranging time c wat time fetch Ì_ mah...
ham,Oh ho. Is this the first time u use these type of words
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
ham,Good. do you think you could send me some pix? I would love to see your top and bottom...
ham,Give me a sec to think think about it
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,Nope... Think i will go for it on monday... Sorry i replied so late
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
ham,Im done. Just studyn in library
ham,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)"
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Yo you around? A friend of mine's lookin to pick up later tonight
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks."
ham,S:)s.nervous  &lt;#&gt; :)
ham,Carlos says we can pick up from him later so yeah we're set
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
spam,You have 1 new message. Please call 08712400200.
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
ham,We left already we at orchard now.
ham,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. "
ham,We'll join the  &lt;#&gt;  bus
ham,Hello madam how are you ?
ham,Then get some cash together and I'll text jason
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
ham,Not able to do anything.
ham,Anything lor if they all go then i go lor...
ham,I am in a marriage function
ham,Fine i miss you very much.
ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
ham,Dunno y u ask me.
ham,Gud ni8.swt drms.take care
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,Unlimited texts. Limited minutes.
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,I to am looking forward to all the sex cuddling.. Only two more sleeps 
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
ham,"Sorry, I'll call later"
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
ham,Wherre's my boytoy ? :-(
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
ham,Please dont say like that. Hi hi hi
ham,"Yeah sure, give me a couple minutes to track down my wallet"
ham,Lmao you know me so well...
ham,Chk in ur belovd ms dict
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
ham,Sorry da thangam.it's my mistake.
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,He also knows about lunch menu only da. . I know
ham,How many times i told in the stage all use to laugh. You not listen aha.
ham,Ho ho - big belly laugh! See ya tomo
ham,Tmr then Ì_ brin lar... Aiya later i come n c lar... Mayb Ì_ neva set properly Ì_ got da help sheet wif Ì_...
spam,"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy \VALENTINES DAY\"" in advance"""
ham,"K, I'll work something out"
ham,"That means you got an A in epi, she.s fine. She.s here now."
ham,PICK UR FONE UP NOW U DUMB?
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
ham,No no. I will check all rooms befor activities
ham,"It's cool, we can last a little while. Getting more any time soon?"
ham,Ard 4 lor...
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs 
ham,K.i did't see you.:)k:)where are you now?
ham,"Sorry, I'll call later"
ham,Except theres a chick with huge boobs.
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,K sure am in my relatives home. Sms me de. Pls:-)
ham,So can collect ur laptop?
ham,I've reached already.
ham,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,And of course you should make a stink!
ham,Love it! I want to flood that pretty pussy with cum...
ham,I dont know oh. Hopefully this month.
ham,"see you then, we're all christmassy here!"
ham,"Sorry, I'll call later"
ham,Babe ? I lost you ... Will you try rebooting ?
spam,"URGENT! Your mobile No *********** WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
ham,Send me the new number
ham,Are there TA jobs available? Let me know please cos i really need to start working
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
ham,Ay wana meet on sat?Ì_ wkg on sat?
ham,It only does simple arithmetic not percentages.
ham,No..he joined today itself.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
ham,It has issues right now. Ill fix for her by tomorrow.
ham,They don't put that stuff on the roads to keep it from getting slippery over there?
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
ham,East coast
ham,Genius what's up. How your brother. Pls send his number to my skype.
spam,You have 1 new message. Call 0207-083-6089
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
ham,i cant talk to you now.i will call when i can.dont keep calling.
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
ham,Bring tat cd don forget
ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!
ham,Ok lor then we go tog lor...
ham,"Probably not, I'm almost out of gas and I get some cash tomorrow"
ham,Anything...
ham,Yep. I do like the pink furniture tho.
ham,"ItÛ÷s å£6 to get in, is that ok?"
ham,Hahaha..use your brain dear
ham,I havent add Ì_ yet right.. 
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow"
ham,Was actually about to send you a reminder today. Have a wonderful weekend
ham,Can't take any major roles in community outreach. You rock mel
ham,YO YO YO BYATCH WHASSUP?
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\"""""
ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna"
ham,Why i come in between you people
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,I'm home...
ham,"Great. I'm in church now, will holla when i get out"
ham,Is ur lecture over?
ham,:) 
ham,We stopped to get ice cream and will go back after
ham,I'm in a movie. Call me 4 wat?
ham,Goodmorning sleeping ga.
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,Hey are we going for the lo lesson or gym? 
ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
ham,We can make a baby in yo tho
ham,Ya just telling abt tht incident..
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Nothing spl..wat abt u and whr ru?
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
